,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
6519,2013,21,102105,102105,Melbourne (CBD),Cafe Paci,"Part Ground , 63-77 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9563529,-37.818798,"-37.81879802115, 144.9563529289036",3000,https://www.google.com/search?q=Cafe+Paci+Melbourne,Cafe
6523,2013,22,102103,102103,Melbourne (CBD),Eclipse Coffee,"Shop 7, 495 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.958117,-37.81854,"-37.81853994654838, 144.95811744965",3000,https://www.google.com/search?q=Eclipse+Coffee+Melbourne,Cafe
6524,2013,22,102103,102103,Melbourne (CBD),Alluvial Restaurant,Part 495-503 Collins Street MELBOURNE 3000,Cafes and Restaurants,144.958117,-37.81854,"-37.81853994654838, 144.95811744965",3000,https://www.google.com/search?q=Alluvial+Restaurant+Melbourne,Australian
6526,2013,22,102104,102104,Melbourne (CBD),Mr Huang Jin,525 Collins Street MELBOURNE 3000,Cafes and Restaurants,144.95747,-37.818661,"-37.81866072318769, 144.95747025505",3000,https://www.google.com/search?q=Mr+Huang+Jin+Melbourne,Chinese
6527,2013,22,105393,105393,Melbourne (CBD),Hare & Grace,Part 70 King Street MELBOURNE 3000,Cafes and Restaurants,144.9570678,-37.818641,"-37.81864089735, 144.95706779479409",3000,https://www.google.com/search?q=Hare+&+Grace+Melbourne,Australian
6532,2013,24,102092,102092,Melbourne (CBD),Cafenatics 367,"Part Ground , 367 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.962442,-37.817282,"-37.81728184554878, 144.96244246255",3000,https://www.google.com/search?q=Cafenatics+367+Melbourne,Cafe
6544,2013,26,102073,102073,Melbourne (CBD),Sheni's Curries,"Shop 16, 161 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.968762,-37.815452,"-37.81545151804356, 144.96876152725",3000,https://www.google.com/search?q=Sheni's+Curries+Melbourne,Indian
6560,2013,28,102063,102060,Melbourne (CBD),Asian Pavillion,"Shop 52, 45 Collins Street MELBOURNE 3000",Cafes and Restaurants,144.9726256,-37.814305,"-37.81430518125, 144.97262557265284",3000,https://www.google.com/search?q=Asian+Pavillion+Melbourne,Asian Fusion
6564,2013,31,105942,105942,Melbourne (CBD),Hudson & Co,585 Little Collins Street MELBOURNE 3000,Takeaway Food Services,144.9554429,-37.817867,"-37.81786688855908, 144.95544292850002",3000,https://www.google.com/search?q=Hudson+&+Co+Melbourne,Cafe
6567,2013,31,108968,108968,Melbourne (CBD),Atami Sushi & Catering,"Shop 6, 106 Little Collins Street MELBOURNE 3000",Takeaway Food Services,144.9543648,-37.818184,"-37.8181841629, 144.95436479780807",3000,https://www.google.com/search?q=Atami+Sushi+&+Catering+Melbourne,Japanese
